,SRP,OCP,LSP,ISP,DIP
C#,67.1875,39.0625,24.479166666666664,35.9375,3.6458333333333335
JAVA,66.66666666666666,38.02083333333333,27.604166666666668,31.770833333333332,4.166666666666666
KOTLIN,65.10416666666666,38.54166666666667,28.125,28.125,1.0416666666666665
PYTHON,61.979166666666664,35.9375,21.354166666666664,28.125,1.0416666666666665
