,smell,example,default,ensemble
SRP,80.74534161490683,80.74534161490683,82.56880733944953,71.14093959731542
OCP,13.592233009708737,66.66666666666666,50.0,75.72815533980582
LSP,23.04147465437788,52.307692307692314,35.193133047210296,48.22134387351779
ISP,38.655462184873954,49.41176470588236,61.37184115523466,37.28813559322033
DIP,4.081632653061225,11.76470588235294,0.0,3.0769230769230766
