,C#,JAVA,KOTLIN,PYTHON
SRP,67.1875,66.66666666666666,65.10416666666666,61.979166666666664
OCP,39.0625,38.02083333333333,38.54166666666667,35.9375
LSP,24.479166666666664,27.604166666666668,28.125,21.354166666666664
ISP,35.9375,31.770833333333332,28.125,28.125
DIP,3.6458333333333335,4.166666666666666,1.0416666666666665,1.0416666666666665
